年月日,基準価額（円）,前日比（円）,純資産総額（百万円）
2021/03/24,10000,‐,200
2021/03/25,9754,-246,195
2021/03/26,9638,-116,217
2021/03/29,9819,181,232
2021/03/30,9633,-186,231
2021/03/31,9929,296,247
2021/04/01,9931,2,247
2021/04/02,10388,457,258
2021/04/05,10387,-1,258
2021/04/06,10351,-36,257
2021/04/07,10307,-44,256
2021/04/08,10124,-183,251
2021/04/09,10152,28,446
2021/04/12,9978,-174,453
2021/04/13,9788,-190,460
2021/04/14,9575,-213,464
2021/04/15,9891,316,486
2021/04/16,9807,-84,494
2021/04/19,9888,81,511
2021/04/20,10004,116,541
2021/04/21,9942,-62,554
2021/04/22,9773,-169,355
2021/04/23,9892,119,363
2021/04/26,10110,218,376
2021/04/27,10243,133,380
2021/04/28,10335,92,400
2021/04/30,10370,35,421
2021/05/06,9797,-573,405
2021/05/07,9788,-9,444
2021/05/10,9536,-252,472
2021/05/11,9398,-138,476
2021/05/12,9016,-382,475
2021/05/13,9465,449,506
2021/05/14,9143,-322,495
2021/05/17,9019,-124,499
2021/05/18,9211,192,515
2021/05/19,9343,132,531
2021/05/20,9363,20,542
2021/05/21,9547,184,553
2021/05/24,9704,157,575
2021/05/25,9508,-196,572
2021/05/26,9565,57,583
2021/05/27,9686,121,596
2021/05/28,9779,93,607
2021/05/31,9665,-114,603
2021/06/01,9926,261,625
2021/06/02,10234,308,652
2021/06/03,10180,-54,658
2021/06/04,10088,-92,656
2021/06/07,9905,-183,653
2021/06/08,9815,-90,653
2021/06/09,9714,-101,650
2021/06/10,9709,-5,653
2021/06/11,9675,-34,652
2021/06/14,9780,105,666
2021/06/15,9806,26,673
2021/06/16,9833,27,675
2021/06/17,9709,-124,683
2021/06/18,9733,24,692
2021/06/21,9993,260,714
2021/06/22,9887,-106,709
2021/06/23,9718,-169,699
2021/06/24,10013,295,721
2021/06/25,10062,49,729
2021/06/28,10326,264,747
2021/06/29,10410,84,758
2021/06/30,10393,-17,756
2021/07/01,10399,6,757
2021/07/02,10449,50,760
2021/07/05,10084,-365,733
2021/07/06,9794,-290,722
2021/07/07,9732,-62,738
2021/07/08,9611,-121,737
2021/07/09,9148,-463,702
2021/07/12,9288,140,717
2021/07/13,9371,83,725
2021/07/14,9633,262,762
2021/07/15,9610,-23,773
2021/07/16,9610,0,776
2021/07/19,9653,43,782
2021/07/20,9351,-302,762
2021/07/21,9340,-11,754
2021/07/26,9268,-72,751
2021/07/27,8517,-751,690
2021/07/28,7787,-730,634
2021/07/29,7986,199,652
2021/07/30,8658,672,714
2021/08/02,8381,-277,713
2021/08/03,8388,7,726
2021/08/04,8185,-203,725
2021/08/05,8400,215,750
2021/08/06,8203,-197,738
2021/08/10,8182,-21,734
2021/08/11,8429,247,763
2021/08/12,8326,-103,755
2021/08/13,8241,-85,753
2021/08/16,8014,-227,734
2021/08/17,7687,-327,707
2021/08/18,7423,-264,683
2021/08/19,7510,87,693
2021/08/20,7246,-264,675
2021/08/23,7087,-159,659
2021/08/24,7237,150,672
2021/08/25,7846,609,748
2021/08/26,7982,136,763
2021/08/27,7870,-112,760
2021/08/30,7883,13,764
2021/08/31,7968,85,777
2021/09/01,8221,253,808
2021/09/02,8352,131,823
2021/09/03,8518,166,847
2021/09/06,8387,-131,839
2021/09/07,8479,92,856
2021/09/08,8645,166,883
2021/09/09,8647,2,915
2021/09/10,8134,-513,865
2021/09/13,8401,267,894
2021/09/14,8199,-202,874
2021/09/15,8071,-128,865
2021/09/16,7826,-245,838
2021/09/17,7789,-37,827
2021/09/21,7724,-65,821
2021/09/22,7642,-82,813
